			% of divergence bins:
Rname	Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[
TE_00000745_INT	LTR	Copia	0	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000256	DNA	DTC	3013	207	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000885	DNA	Helitron	4780	0	573	0	0	0	563	410	566	0	1051	439	1232	1373	981	78	993	2976	1616	947	1178	1404	1520	666	600	0	245	450	113	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000395	DNA	Helitron	112	0	0	525	742	2497	1926	2858	870	401	755	417	129	526	267	356	313	337	314	385	210	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000836	MITE	DTA	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	116	121	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000453_INT	LTR	Gypsy	4958	0	0	0	283	2529	2482	4580	7635	13225	11911	15199	8741	9421	4539	3335	4577	5513	3710	2886	2030	3333	11865	9167	11930	5289	743	1026	2286	1136	2540	4935	3572	1382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000671	DNA	Helitron	0	0	931	0	0	0	0	0	0	0	0	0	0	1565	0	103	0	7	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000375	MITE	DTM	435	0	0	0	0	0	0	0	0	0	157	0	0	0	157	0	0	0	0	0	0	0	0	0	162	0	152	76	350	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000756_LTR	LTR	Gypsy	344	0	344	0	0	0	0	0	0	0	0	0	0	0	0	113	140	0	0	150	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000648_INT	LTR	Copia	0	4073	0	0	0	0	0	0	35	0	0	0	0	4076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000804_LTR	LTR	Copia	121	0	0	0	111	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000676_LTR	LTR	Copia	706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000212	DNA	DTC	2186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000172	DNA	Helitron	3826	176	0	0	0	0	0	0	0	0	0	76	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000742_LTR	LTR	Copia	980	0	978	0	0	0	0	0	0	0	0	0	0	0	0	111	605	1191	0	0	355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000102	DNA	Helitron	1537	0	0	1376	0	0	411	0	0	0	75	427	318	176	270	264	810	294	72	530	44	145	314	445	7	199	49	495	0	743	0	0	637	0	0	0	0	281	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000122	DNA	DTM	516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000801	DNA	Helitron	864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000008	DNA	DTM	324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000572	DNA	Helitron	928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000654	MITE	DTA	106	0	0	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000573	MITE	DTM	533	0	0	0	0	0	0	0	0	0	0	381	0	380	376	0	0	0	0	0	76	290	0	162	0	0	0	111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000647	DNA	DTM	846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000134	DNA	DTM	1831	0	0	111	0	38	219	268	279	292	0	365	377	280	467	0	0	200	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000569	DNA	DTA	1272	0	253	267	0	0	117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000334	DNA	DTA	793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	267	97	0	0	611	1163	192	325	0	32	181	0	1066	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000869_INT	LTR	Copia	4645	0	0	0	0	0	0	0	0	555	4628	4634	0	0	0	0	0	101	0	0	75	0	108	1675	0	863	0	4369	367	164	245	0	522	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000003	DNA	DTC	700	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000473_INT	LTR	Copia	1311	0	0	1192	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1207	0	197	1265	1273	0	451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000730_INT	LTR	Gypsy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	28	45	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000049	DNA	Helitron	10107	327	0	0	0	0	0	117	539	177	776	2214	41	1222	852	128	449	381	452	928	1737	1148	889	821	323	195	624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000231	DNA	DTM	2919	0	34	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	0	0	0	486	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000106	DNA	Helitron	5245	2244	1123	676	1858	6036	6851	7024	4826	3937	2016	2268	846	1386	2898	2722	3102	4065	2171	2135	1871	2958	630	2610	768	3163	1401	1147	1234	928	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000326	DNA	DTA	1829	0	463	0	0	34	634	277	0	577	701	0	772	39	182	238	136	153	359	0	709	158	223	260	164	727	0	165	368	866	2573	2006	667	587	271	258	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000512	DNA	DTM	640	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000391	MITE	DTM	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000090	DNA	Helitron	6740	0	0	0	0	0	0	0	0	0	0	175	74	0	0	0	0	0	0	0	0	213	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000506	DNA	Helitron	11003	0	176	0	638	638	0	937	425	176	0	433	287	198	496	2321	670	127	442	927	1095	1069	366	321	176	194	1214	228	2217	890	1868	2133	968	3588	1703	1193	194	140	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000580_INT	LTR	Copia	4438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	546	0	253	111	0	674	0	0	362	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000018	DNA	Helitron	11075	354	0	381	45	209	33	84	49	534	440	1318	1343	1403	1437	588	958	302	2250	539	1752	1087	662	1899	1270	774	1347	659	1152	1404	2995	1094	1960	984	1766	547	210	81	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000701_INT	LTR	Copia	3887	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	104	0	0	0	0	0	0	0	0	106	116	0	0	1620	1531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000492_INT	LTR	Copia	0	2518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000017	DNA	Helitron	8447	0	1609	0	0	284	0	0	59	0	0	126	0	224	194	220	306	976	498	240	635	661	259	33	405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000301	DNA	DTM	4536	0	0	0	0	0	0	0	0	0	0	53	0	0	72	128	509	160	115	270	260	1210	892	2015	1556	881	4322	215	4754	1364	0	745	437	0	364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000534	DNA	Helitron	254	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000477	DNA	Helitron	1959	0	3701	12387	0	1855	241	0	0	0	0	0	0	0	0	0	124	0	0	0	0	251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000558	DNA	DTH	2099	0	0	111	68	0	369	495	297	0	503	949	83	776	438	581	238	553	714	752	932	1629	1016	474	848	443	530	296	0	84	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000247	DNA	DTT	1997	0	0	0	0	0	0	0	0	0	0	0	0	153	0	65	0	0	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000166	DNA	Helitron	3513	458	0	113	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000210	DNA	DTM	1780	0	0	0	0	40	1335	0	89	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000904	DNA	DTM	186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000740_LTR	LTR	Copia	240	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000561_LTR	LTR	Gypsy	392	0	0	391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	392	392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000327_INT	LTR	Gypsy	3882	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	66	0	0	0	0	0	1852	0	0	0	0	0	0	0	0	0	1215	176	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000035	DNA	DTM	1697	187	0	0	0	113	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000819_LTR	LTR	Copia	772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000842_INT	LTR	unknown	2136	700	2482	1419	4202	1300	2974	54	423	768	1013	213	207	54	750	522	515	483	967	844	2168	2232	1107	0	2123	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000126	DNA	Helitron	5656	89	0	0	0	53	711	206	1383	173	1040	208	398	1357	1692	473	1193	404	998	879	2561	4084	2999	2885	854	732	850	482	117	959	279	448	0	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000202	DNA	DTC	569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000753_LTR	LTR	Gypsy	911	0	0	0	0	0	33	0	0	0	0	0	55	0	0	0	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000653_INT	LTR	Gypsy	0	0	0	0	0	0	0	8419	7973	5434	9916	9585	646	5829	817	11435	3310	2427	0	4040	3282	1437	0	428	450	476	444	746	1558	479	881	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000072	DNA	DTH	538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000304	MITE	DTA	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	52	120	102	48	621	262	0	343	0	0	340	0	189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000895	DNA	DTM	4958	9632	0	0	0	876	0	0	0	0	0	0	48	0	85	23	42	119	42	342	363	2279	1884	1540	0	0	289	120	0	94	1070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000309	DNA	DTM	476	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000822_INT	LTR	Gypsy	6897	0	0	525	0	0	0	322	398	2135	5869	19761	7418	11339	1285	3666	2082	537	2857	1507	741	0	0	0	685	297	0	784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000378_INT	LTR	Copia	5462	179	638	615	8388	15724	6106	788	572	572	52	123	3741	2079	3405	0	56	136	65	247	143	0	332	0	0	322	0	0	0	433	0	250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000385	DNA	DTM	1087	0	0	0	0	0	1094	0	0	0	0	151	1030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000300_LTR	LTR	Gypsy	170	170	0	0	0	481	170	1129	1158	678	1356	803	161	437	240	123	319	338	326	162	144	485	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000112	DNA	Helitron	5463	966	0	0	0	0	0	0	0	75	154	0	144	63	352	247	200	196	196	175	251	53	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000127	DNA	DTH	2917	0	2571	5127	2731	7642	155	943	1887	2085	0	1807	864	0	0	0	68	135	222	2585	885	0	236	165	1846	7099	4131	687	1584	1801	1004	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000552	DNA	Helitron	9415	0	7018	5146	6702	3232	119	5155	931	1327	1883	3085	1863	877	2663	886	974	394	2946	1117	942	1113	769	880	659	479	1034	2642	1991	3128	12333	14565	12174	14969	12835	909	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000584	MITE	DTH	206	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000152	DNA	Helitron	6513	0	0	103	0	0	135	0	95	112	0	590	0	0	0	236	77	0	203	0	0	0	88	195	0	0	0	138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000589_INT	LTR	Gypsy	0	0	0	0	241	0	0	83	192	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000661	DNA	Helitron	1215	0	0	0	387	73	1357	0	172	1343	2383	1505	1318	0	117	57	789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000685	DNA	DTM	670	0	0	283	0	0	0	0	0	0	0	0	0	73	0	326	115	131	0	0	0	189	0	0	80	0	101	198	457	140	409	314	0	942	118	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000417	DNA	DTM	651	220	0	0	0	0	0	348	0	0	0	0	81	0	0	0	0	122	311	90	0	270	0	0	0	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000068	DNA	DTM	1025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000652_INT	LTR	Copia	0	0	0	0	4551	4552	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	208	0	0	0	168	0	0	654	3223	700	3845	873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000058	DNA	DTM	864	0	0	0	0	0	32	0	0	0	107	0	167	0	0	397	0	0	546	0	0	324	0	74	50	50	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000200	DNA	Helitron	13112	422	2602	1753	690	3959	2797	2225	52	325	2281	584	2055	1029	741	1225	1265	2333	1378	1249	10957	13711	9672	16729	7266	3485	5224	926	2120	4688	6840	6806	8389	11786	6526	1325	434	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000520	MITE	DTA	460	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	80	0	120	80	179	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000712	DNA	DTM	2689	628	0	0	0	114	364	201	301	2416	775	4338	83	102	5202	694	264	690	256	548	598	464	480	374	190	683	857	22	2249	0	7890	1071	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000162	DNA	Helitron	1970	4639	374	0	236	136	526	96	491	0	0	0	0	107	0	91	160	455	178	589	232	146	420	0	54	0	56	309	168	456	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000522	DNA	Helitron	10726	0	897	2082	401	0	0	0	0	61	0	0	0	0	166	0	208	0	0	146	878	1707	1450	243	259	5524	605	861	1513	1469	369	578	0	0	0	0	538	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000871	DNA	DTM	2587	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000276	DNA	DTC	1105	1310	0	0	0	40	0	0	0	0	0	0	0	431	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000116	DNA	Helitron	4754	0	0	891	0	0	0	0	0	142	0	0	0	260	0	128	347	91	0	376	108	0	0	0	242	78	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000526_LTR	LTR	Copia	342	0	0	342	0	665	267	683	1642	373	409	0	0	0	357	0	0	0	0	268	201	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000077	DNA	Helitron	6840	75	0	0	64	0	78	0	680	0	0	0	616	0	651	137	247	756	1016	1796	2118	2161	2542	826	1959	443	340	883	322	252	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000287	DNA	DTM	1800	0	90	415	0	942	0	0	135	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	1304	0	0	0	0	1316	1110	345	593	259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000076	DNA	DTH	3481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	215	110	348	0	171	331	491	1051	166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000293	DNA	DTC	1431	0	0	0	0	0	0	0	0	0	0	347	0	0	843	0	0	511	0	70	547	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000863_LTR	LTR	Copia	188	0	187	0	0	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000260	DNA	DTM	490	0	0	0	0	0	239	187	90	98	418	436	844	642	240	91	265	564	521	165	286	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000190	DNA	DTH	825	0	1675	865	465	831	427	0	0	0	0	181	0	91	0	117	174	101	162	236	43	145	677	487	0	445	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000347	DNA	Helitron	1135	0	0	564	0	0	4719	3046	1468	994	3156	7368	4728	4099	2823	1255	733	1018	622	389	792	1232	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000669	DNA	Helitron	0	0	69	67	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TE_00000600_INT	LTR	Gypsy	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
